,Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap
119,CSHX,CASHMERE VALLEY BANK,OTCQX U.S.,49.5,-0.9901,200,Common Stock,USA,Washington,
120,CRYM,CRYOMASS TECHNOLOGIES INC,OTCQX U.S.,0.2555,0.1961,325614,Common Stock,USA,Colorado,
121,TGEN,TECOGEN INC,OTCQX U.S.,0.95,-4.0404,10852,Common Stock,USA,Massachusetts,
122,GBTC,GRAYSCALE BITCOIN TRUST,OTCQX U.S.,11.39,1.7418,2208743,Common Stock,USA,Connecticut,
123,AKOM,AERKOMM INC,OTCQX U.S.,5.03,,50,Common Stock,USA,Nevada,
124,IBTN,INSCORP INC,OTCQX U.S.,20.2,,0,Common Stock,USA,Tennessee,
125,SHWZ,MEDICINE MAN TECH INC,OTCQX U.S.,1.05,2.9412,19073,Foreign Ordinary Shares,USA,Colorado,
126,PKKW,PARKWAY ACQUISITION CORP,OTCQX U.S.,12.25,,50,Common Stock,USA,Virginia,
127,OTTW,OTTAWA BANCORP INC,OTCQX U.S.,13.75,,0,Common Stock,USA,Illinois,
128,CCNB,COASTAL CAROLINA BANC,OTCQX U.S.,9.98,,0,Common Stock,USA,South Carolina,
129,COSO,COASTALSOUTH BANCSHARES,OTCQX U.S.,17.5,,0,Common Stock,USA,South Carolina,
130,TDGMW,TIDEWATER INC 11/14/42 WT,OTCQX U.S.,23.0,,0,Warrants,USA,Texas,
131,CRSS,CROSSROADS IMPACT CORP,OTCQX U.S.,10.75,-10.4167,855,Common Stock,USA,Texas,
132,SVBT,SVB&T CORP,OTCQX U.S.,47.3,,0,Common Stock,USA,Indiana,
133,ETCG,GRAYSCALE ETHRM CLSSIC TR,OTCQX U.S.,7.7799,4.4282,47753,Common Stock,USA,Connecticut,
134,GBFH,GBANK FINL HLDGS INC,OTCQX U.S.,9.45,,0,Common Stock,USA,Nevada,
135,BSFO,BANK OF SAN FRANCISCO,OTCQX U.S.,26.63,2.2265,200,Common Stock,USA,California,
