Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap,SIC Code
JUVF,JUNIATA VLY FINCL CORP PA,OTCQX U.S. Premier,15.43,2.8667,138,Common Stock,USA,Pennsylvania,"77,197,200",6022 - State commercial banks
KISB,KISH BANCORP INC,OTCQX U.S. Premier,29.51,-0.0003,114,Common Stock,USA,Pennsylvania,"77,756,017",6712 - Bank holding companies
LPHM,LEE PHARMACEUTICALS,Pink Current,0.026,0.0,600,Common Stock,USA,Alabama,"914,221",2821 - Plastics materials and resins
LINS,LIFE INS CO ALA,Pink Current,75.0,,0,Common Stock,USA,Alabama,"6,190,050",6311 - Life insurance
LINSA,LIFE INS CO ALA A,Pink Current,32.0,,0,Common Stock,USA,Alabama,"10,052,448",6311 - Life insurance
LYBC,LYONS BANCORP INC,OTCQX U.S.,49.5001,-0.4022,343,Common Stock,USA,New York,"167,812,715",6021 - National commercial banks
MLGF,MALAGA FINANCIAL CORP,Pink Current,23.05,0.0,221,Common Stock,USA,California,"187,657,610","6036 - Savings institutions, except federal"
MNBP,MARS BANCORP INC,OTCQX U.S. Premier,16.1101,-4.0494,1,Common Stock,USA,Pennsylvania,"25,776,160",6021 - National commercial banks
MCHT,MAUCH CHUNK TR FINCL CORP,Pink Current,8.05,0.0,1540,Common Stock,USA,Pennsylvania,"26,860,258","6029 - Commercial banks, misc"
PSSR,PASSUR AEROSPACE INC,Pink Current,0.19,,0,Common Stock,USA,Connecticut,"1,465,297",3812 - Search and navigation equipment
MNPP,MERCHANTS NATL PROPERTIES,Pink Current,1500.0,,0,Common Stock,USA,New York,"137,755,500","6552 - Subdivisers and developers, misc"
MBKL,MBT BANCSHARES INC,Pink Current,23.69,,0,Common Stock,USA,Louisiana,"48,411,534","6029 - Commercial banks, misc"
MTRT,METAL ARTS CO INC,Pink Current,1.0,-7.4074,10796,Common Stock,USA,New York,"82,512,793",3465 - Automotive stampings
MPAD,MICROPAC INDUST INC,Pink Current,14.0,,0,Common Stock,USA,Texas,"36,145,690",3674 - Semiconductors and related devices
MMTRS,MILLS MUSIC TRUST CBI,Pink Current,35.95,,0,Common Stock,USA,New York,"9,983,746",6794 - Patent owners and lessors
MUEL,MUELLER PAUL CO,Pink Current,48.0,,0,Common Stock,USA,Missouri,"52,114,128",3443 - Fabricated plate work (boiler shop)
MYBF,MUNCY BANK FINANCIAL INC,OTCQB,38.07,0.1842,200,Common Stock,USA,Pennsylvania,"61,230,189",6712 - Bank holding companies
NCXS,NBC BANCORP INC,Pink Current,55.0,,0,Common Stock,USA,New York,"26,028,145",6021 - National commercial banks
NACB,NATIONAL CAP BANCORP INC,Pink Current,175.0,,0,Common Stock,USA,Washington DC,"50,294,825",.
NSYC,NATL STK YDS CO,Pink Current,300.0,,0,Common Stock,USA,Oklahoma,"13,083,600",.
NEFB,NEFFS BANCORP INC,Pink Current,450.0,,0,Common Stock,USA,Pennsylvania,"71,153,550",.
NCRE,NEW CENTURY RESOURCES CRP,Pink Current,0.5,,0,Common Stock,Cyprus,,"6,240,862",.
NTBP,NEW TRIPOLI BANCORP INC,Pink Current,1500.0,8.4599,3,Common Stock,USA,Pennsylvania,"94,900,500",6021 - National commercial banks
NUVR,NUVERA COMMUNICATIONS INC,OTCQB,18.5,0.0,1000,Common Stock,USA,Minnesota,"94,064,693","4813 - Telephone communication, except radio"
NOBH,NOBILITY HOMES INC,OTCQX U.S.,24.2,0.207,100,Common Stock,USA,Florida,"81,576,070",2451 - Mobile homes
NROM,NOBLE ROMAN'S INC,OTCQB,0.2,,0,Common Stock,USA,Indiana,"4,443,102",5812 - Eating places
NIMU,NON-INVASIVE MONITORG SYS,Pink Current,0.0135,,0,Common Stock,USA,Florida,"2,089,944",3845 - Electromedical equipment
NODB,NORTH DALLAS BK&TR CO TEX,Pink Current,63.25,,0,Common Stock,USA,Texas,"162,490,895","6029 - Commercial banks, misc"
OSTO,ORIGINAL 16 TO 1 MINE INC,Pink Current,0.51,-46.2025,3300,Common Stock,USA,California,"7,584,022",1040 - Gold and Silver Ores
OXBC,OXFORD BANK CORP,Pink Current,29.0,0.0,2128,Common Stock,USA,Michigan,"69,914,302",6022 - State commercial banks
PGAI,PGI INC,Pink Current,0.041614,,0,Common Stock,USA,Missouri,"221,272",6500 - Real Estate
PKIN,PEKIN LIFE INS CO CAP,Pink Current,11.75,,0,Common Stock,USA,Illinois,"200,549,270","6399 - Insurance carriers, misc"
PPLL,PEOPLES LTD,Pink Current,70.75,,3,Common Stock,USA,Pennsylvania,"52,107,092",Not Available
PCHM,PHARMCHEM INC,Pink Current,2.7,7.5697,3100,Common Stock,USA,Texas,"13,659,287",.
PONT,PONTIAC BANCORP INC,Pink Current,473.5,,0,Common Stock,USA,Illinois,"99,709,157",.
PRSI,PORTSMOUTH SQUARE INC,Pink Current,38.67,,0,Common Stock,USA,California,"28,390,973",.
PDNLA,PRESIDENTIAL RLTY A,Pink Current,0.2,,0,Common Stock,USA,New York,"88,507",.
PDNLB,PRESIDENTIAL RLTY B,Pink Current,0.0128,,0,Common Stock,USA,New York,"41,128",.
PSBP,PSB HOLDING CORP,OTCQX U.S. Premier,26.0,,0,Common Stock,USA,Maryland,"39,823,264",.
QNBC,Q N B CORP,Pink Current,27.6,,0,Common Stock,USA,Pennsylvania,"98,473,874",.
RCBC,RIVER CITY BANK CALIF,Pink Current,231.0,0.0,12,Common Stock,USA,California,"342,706,980",6712 - Bank holding companies
RLBY,RELIABILITY INC,Pink Current,0.0634,21.9231,13220,Common Stock,USA,Maryland,"19,020,000",3825 - Instruments to measure electricity
RSRV,RESERVE PETROLEUM CO,Pink Current,235.0,8.7963,8,Common Stock,USA,Oklahoma,"36,697,130",1311 - Crude petroleum and natural gas
RSKIA,RISK (GEORGE) INDUS INC A,Pink Current,11.56,,0,Common Stock,USA,Nebraska,"57,002,221","3669 - Communications equipment, misc"
ROYL,ROYALE ENERGY INC,OTCQB,0.0698,0.7215,3575,Common Stock,USA,California,"4,104,469",1311 - Crude petroleum and natural gas
PGNT,PARAGON TECHS INC,Pink Current,8.0,-4.1916,200,Common Stock,USA,Pennsylvania,"13,733,960","3530 - Construction, Mining & Materials Handling Machinery & Equip"
